[2023-01-13 10:30:00,353: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:01,391: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:02,453: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:03,503: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:04,581: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:05,620: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:06,666: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:07,701: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:08,763: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:09,829: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:10,876: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:11,930: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:12,977: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:14,027: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:15,105: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:16,158: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:17,205: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:18,254: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:19,300: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:20,323: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:21,386: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:22,423: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:23,470: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:24,536: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:25,583: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:26,620: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:27,683: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:28,748: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:29,794: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:30,832: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:31,879: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:32,913: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:33,960: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:34,998: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:36,045: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:37,080: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:38,126: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:39,208: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:40,270: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:41,305: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:42,383: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:43,464: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:44,511: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:45,592: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:46,638: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:47,676: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:48,722: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:49,804: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:50,882: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:51,952: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:52,998: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:54,036: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:55,083: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:56,136: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:57,183: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:30:58,232: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:30:59,294: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:00,328: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:01,375: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:02,456: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:03,503: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:04,540: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:05,587: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:06,621: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:07,699: WARNING] Устройство с адресом 1 недоступно
